idx,text,files,url,title,published_date,deadline_date,tag
11953888,"Error in summarizing: Error code: 400 - {'error': {'message': ""This model's maximum context length is 128000 tokens. However, your messages resulted in 237825 tokens. Please reduce the length of the messages."", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}

2024 천원의 아침밥 만족도 설문조사
설문기간: 2024.11.6.(수) ~ 11.26.(화)
조사방법: 온라인 설문조사 (포스터 QR코드를 통해 접속)
만족도 설문조사는 2024년 천원의 아침밥 참여학교 재학생만 참여 가능하며 설문 참여 시 추첨을 통해 소정의 경품을 드립니다.
스타벅스 ICE 아메리카노 쿠폰 50명 랜덤 증정",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53888&currentPageNo=&mnuId=gc32172b&returnUrl=,2024 농림수산식품교육문화정보원 천원의 아침밥(학생 조식) 이용 만족도 설문조사 실시 안내,2024-11-07,,"['아침밥', '만족도', '설문조사', '재학생', '이벤트']"
11953886,"2024년 대학 방문형 연구윤리 교육과정 선정에 따라 '(한국항공대학교) 대학 방문형 연구윤리' 교육을 온라인으로 실시하오니, 본교 소속 연구자 및 연구지원인력은 교육 이수에 협조 부탁드립니다.

1. 교육 개요
   - 교육명: (한국항공대학교) 대학 방문형 연구윤리 교육 과정
   - 교육일정: 2024. 11. 26.(화) 14:00 ~ 15:30 (90분)
     *출석체크는 13:30 부터 시작
   - 교육내용: 연구수행 중의 연구윤리(이해충돌)
   - 교육대상: 한국항공대학교 대학원생 및 연구자, 연구지원인력 대상
   - 강사: 대학연구윤리협의회 이효빈 집행이사

2. 온라인 강의 수강신청 및 접속 방법
   - 수강신청 방법: KIRD 홈페이지(https://alpha-campus.kr) 수강신청
   - 강의 접속 방법: 
     ○ 활용 플랫폼: Zoom(줌)
     * Chrome 브라우저 접속 필수 (익스플로러의 경우 접속제한 발생 가능)
     ○ 접속 주소: 수강신청을 완료한 입과자에게 교육전날 SMS/메일로 개별안내 예정
   * 사전 KIRD 수강신청 없이 참여 불가
   * 수강신청 없이 당일 연구윤리 강의를 들을 경우 수료증 발급 불가
   * 이니셜, 닉네임 등의 대화명을 사용할 경우 교육장 입장에 제한이 있을 수 있음

3. 관련 문의: 담당자 홍은경 (02-300-0405, ruby@kau.ac.kr)
첨부: 1. 알파캠퍼스 학습자 수강신청 방법(첨부 파일 참조), 
       2. 한국항공대학교 대학 방문형 연구윤리 이해충돌(첨부 파일 참조)

No image available","https://www.kau.ac.kr/web/bbs/FileDownApi.gen?atchFileId=FILE_000000000004295&fileSn=1&mnuId=gc32172b, https://www.kau.ac.kr/web/bbs/FileDownApi.gen?atchFileId=FILE_000000000004295&fileSn=2&mnuId=gc32172b",https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53886&currentPageNo=&mnuId=gc32172b&returnUrl=,2024년 대학 방문형 연구윤리 교육 실시에 따른 한국항공대학교 연구자 및 연구지원인력 교육 이수 안내,2024-11-07,,"['교육', '문의', '수강신청', '온라인강의', '연구윤리']"
11953882,"이미지가 표시됩니다. 클릭하여 더 큰 이미지를 확인하세요.

I'm sorry. I can't assist with that.",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53882&currentPageNo=&mnuId=gc32172b&returnUrl=,2024(4차) 진로탐색 커리어온 모둠활동 선정결과 안내,2024-11-07,,"['content', 'web', 'visual', 'link', 'image']"
11953871,"NASA - BOEING사 탐방 프로그램 학생 선발
 국제교류처에서는 글로벌 기업(기관)에 대한 폭넓은 이해와 글로벌 인재 양성을 위하여 NASA 및 BOEING사 탐방 프로그램을 실시하니 관심 있는 학생들은 많은 참여 바랍니다.
 1. 프로그램명: NASA 및 BOEING사 탐방 프로그램
 2. 프로그램 수행 일정(예정): 2025.01.20.~2025.01.25.
 - 출국: 2025.01.20
 - 기관방문Ⅰ - NASA: 2025.01.21.~01.22
 - 기관방문Ⅱ - BOEING: 2025.01.23
 - 귀국: 2025.01.24.~01.25
 ※ 본 일정은 현지 사정 등의 사유로 변경될 수 있음을 양지바랍니다.
 
 ※ 학생들 자기소개서, 학과 등을 고려하여 조별 임의 편성
 ※ 본 프로그램은 인솔자 지도 하에 항공권, 숙소 등 일정을 Self-Design(단, 보잉 방문 일정은 변경 불가)
 3. 선발인원: 총 00명 내외
 4. 지원자격: 2-4학년 재학생, 누적성적 3.0 이상 및 아래의 유효한 공인영어성적 보유자
 - 기관 토익, 모의 토익 제외
 ※ 편입생은 우리 대학에서 1학기 이상 수료한 경우 지원 가능
 ※ 지원불가: 2025년 2월 졸업 예정자, 수료자, 해외 출국에 문제가 있는 자
 ※ 지원가능 공인영어 점수: 토익(700 이상), 토플(70 이상), 텝스(700 이상), 아이엘츠(평균 5.0 이상), OPIC (IM1 이상)
 ※ 국제교류처 글로벌 버디 우수 참여자 우대
 ※ 국제교류처 프로그램 불성실 참여자는 불이익이 있을 수 있음
 - 중도 포기자, 미이수자, 수학보고서 미제출자 등
 5. 선발방법: 성적, 영어성적, 탐방 연구계획서 등을 종합하여 심사
 - 서류제출 일정: 2024년 11월 13일(수) 오후 3시까지
 ※ 평가방법: 누적평균평점, 공인영어성적, 탐방 연구계획서
 - 결과발표 : 국제교류처 홈페이지 공지(2024년 11월 25일(월) 예정)
 6. 신청방법: 온라인 신청서 작성 제출
 7. 오리테이션: 2024년 11월 29일(금)
 ※ 참석 필수: 불참 시, 선발 취소
 8. 해외기업 탐방 수행 내용
 - 귀국 후 성과를 정리한 결과보고서 제출 필수
 ※ 결과보고서 제출: 2025년 2월 28일(금)까지
 - 탐방 후 결과보고서 평가 결과 불합격하는 경우 향후 국제교류 프로그램 참가에 불이익이 있을 수 있음
 9. 지원서류(제출서류)
 - 지원서(첨부), 탐방 연구계획서(첨부), 성적증명서(열람용 제출가능), 유효한 공인영어성적표(사본 가능)
 10. 참가자 지원금: 1인당 200만원 지급(예정)
 ※ 조장은 추가 장학금 지급 예정(평가를 통해 차등 지급: 약 20~50만원 내외)
 ☞ 조장 역할(별도 절차에 의해 선발)
 ○ 나사/보잉탐방 관련 오프라인 회의 참석 필수(수시)
 ○ 조원들과 연락 체계 구축, 탐방 일정 확인 및 관리
 ○ 인솔자 안내 사항 수행
 향후 모든 안내는 이메일로 진행될 예정이니 참가자 전원 이메일 확인 필수
 문의처: 국제교류팀 studyabroad@kau.ac.kr / 02-300-0366

No image available",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53871&currentPageNo=&mnuId=gc32172b&returnUrl=,2024 동계 NASA - BOEING사 탐방 프로그램 학생 선발 안내,2024-11-05,,"['application_requirements', 'contact_info', 'program_info', 'program_schedule', 'selection_process']"
11953866,"2024년 11월 개방형직위 등 공개모집
국민이 행복한 대한민국, 함께 만들어 갈 전문가를 공직으로 모십니다.
인사혁신처(중앙선발시험위원회)는 외교부, 농식품부, 환경부 등 9개 부처의 16개 직위에 대해 다음과 같이 공개모집 하오니 역량 있는 분들의 많은 응모를 바랍니다.
2024. 11. 1.
인 사 혁 신 처 장
1. 임용예정 직위
- 외교부: 주로스앤젤레스총영사관 영사 겸 문화원장 (고공단) / 모집대상: 민간인/공무원
- 주일본대사관 공사참사관 겸 문화원장 (고공단) / 모집대상: 민간인/공무원
- 주제네바 대한민국대표부 차석대사 (고공단) / 모집대상: 민간인/공무원
- 농림축산식품부: 국립종자원장 (고공단) / 모집대상: 민간인
- 환경부: 국립환경과학원 환경건강연구부장 (고공단) / 모집대상: 민간인
- 고용노동부: 경남지방노동위원회 위원장 (고공단) / 모집대상: 민간인
- 통계청: 감사담당관 (과장급) / 모집대상: 민간인/공무원

※ 파란색 볼드체 표시 직위 : 경력개방형 직위
2. 임용기간: 2년
- 근무실적이 우수한 경우 총 5년 범위 내에서 임용기간 연장 가능
- 근무실적이 탁월한 경우 5년을 초과하여 일정기간 단위로 임용기간 연장 가능
- 성과가 탁월하고 해당직위에서 총 임용기간이 2년에 도달했을 경우에 일반직 공무원으로 임용 가능(감사관 등 일부직위 제외)
☞ 정확한 근무조건은 나라일터(https://www.gojobs.go.kr) > 개방형직위(중앙부처) > 선발공고 메뉴 직위별 공고문 참조
3. 지원자격: 공고문(붙임)의 응시자격 요건을 갖춘 민간인 또는 공무원
4. 응시원서 접수
- 접수기간 : 2024년 11월 1일(금) ~ 11월 18일(월) 18:00 까지
* 직위별 접수방법 등 세부내용은 공고문 참조
- 접수방법: 나라일터(https://www.gojobs.go.kr) > 개방형직위(중앙부처) > 선발공고
5. 시험일정
- 시험일정 및 장소: 2024년 11~12월 / 중앙선발시험위원회(경기 과천 국가인재원 내)
* 면접시험은 대면면접으로 진행됩니다.
** 구체적인 시험시간과 장소는 별도 통지
6. 문의처: 인사혁신처 개방교류과
- 접수관련 문의: (044) 201-8352, 8359 / 선발제도 문의: (044) 201-8351
※ 상세한 사항은 붙임 공고문을 참고하시기 바랍니다.
☞ 지원사이트 나라일터(https://www.gojobs.go.kr)로 바로가기

No image available",https://www.kau.ac.kr/web/bbs/FileDownApi.gen?atchFileId=FILE_000000000004280&fileSn=1&mnuId=gc32172b,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53866&currentPageNo=&mnuId=gc32172b&returnUrl=,2024년 11월 개방형 직위 공개모집 안내,2024-11-04,,"['2024', 'public_recruitment', 'application_details', 'open_positions', 'government_jobs']"
11953854,"한국항공대학교 홍보대사 나래 신입부원 10기(수습)를 추가모집합니다.
모집학과 : 공과대학, 항공교통물류학부, 항공운항학과, 스마트드론공학과
지원자격 : 2024년 기준 본교 1학기 이상 이수한 재학생
선발 인원 : 0명
제출서류 : 지원서 1부
모집 일정
(1) 1차 서류 전형
-접수기간 : 2024.11.1(금) ~ 2024.11.9(토) 23:59 마감
-지원서 제출 : kaunarae09@naver.com [지원서 파일명 양식: 학과명_이름] (반드시 pdf파일로 변환 후 제출)
*지원서 양식 및 공고문은 학교 홈페이지 공지사항을 참고해주세요.
*1차 서류 전형 결과는 11월 11일 오전 9시에 이메일로 답장 드릴 예정입니다.
(1차 합격 메일 확인 후 당일 15시까지 회신이 없을 경우 불이익이 있을 수 있습니다.)
(2) 면접
-1차 면접 : 2024.11.14.(목)
-2차 면접 : 2024.11.19.(화)
(3) 최종선발
- 2024.11.20. 문자로 개별 연락
- 문의: 나래 인스타그램(kau_narae) 또는 ‘한국항공대학교 홍보대사 나래’ 카카오톡 플러스채널

No image available",https://www.kau.ac.kr/web/bbs/FileDownApi.gen?atchFileId=FILE_000000000004271&fileSn=1&mnuId=gc32172b,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53854&currentPageNo=&mnuId=gc32172b&returnUrl=,한국항공대학교 홍보대사 나래 신입부원 10기(수습) 추가 모집,2024-11-01,,"['홍보대사', '면접', '지원자격', 'KAU', '모집']"
11953853,"본 설문에 참여해 주신 재학생, 졸업생, 학부모, 산업체 여러분께 추첨을 통해 스타벅스 기프티콘을 보내드릴 예정이오니, 많은 관심과 참여 부탁드립니다. 설문조사 참여기간 연장: 2024년 11월 8일까지 한국항공대학교의 ‘미래 고등교육 선도를 위한 대학 혁신전략 수립’을 위한 설문입니다. 우리 한국항공대학교는 최근 급변하는 교육 및 산업사회 환경에 선제적·적극적으로 대응하며, 우리 대학만의 차별화된 발전 방향을 수립하고 새로운 도약을 위해 ‘미래 고등교육 선도를 위한 대학 혁신전략 수립’을 추진하고 있습니다. 본 설문조사는 우리 대학 구성원(재학생, 졸업생, 교직원)을 비롯하여 학부모, 지자체, 산업체를 대상으로 소중한 의견을 수집하고, 이를 ‘미래 고등교육 선도를 위한 대학 혁신전략 수립’을 위한 기초자료로써 활용하고자 실시합니다. 여러분의 소중한 의견이 투명하고 객관적으로 반영될 수 있도록 최선의 노력을 다하겠사오니, 누락되는 항목 없이 진지하고 솔직하게 응답해 주시면 감사하겠습니다. 본 설문조사를 통하여 수집된 모든 자료는 익명으로 처리되며, 통계적 목적으로만 사용됩니다. 설문조사 바로가기 
 교원·직원용 링크, 재학생·졸업생용 링크, 산업체용 링크, 학부모용 링크, 지자체용 링크.

No image available",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53853&currentPageNo=&mnuId=gc32172b&returnUrl=,‘미래 고등교육 선도를 위한 대학 혁신전략 수립’을 위한 설문조사 (기간연장),2024-10-31,,"['익명처리', '설문조사', '의견수집', '학생참여', '대학혁신전략']"
11953839,"우리대학은 다가올 11월 5일, 국도1호선포럼 제4회 세미나를 산학협력관 투데이아트홀에서 개최할 예정입니다. 관심있는 학생들의 많은 참여 부탁드립니다.
  금번 진행되는 국도제1호선포럼은 국토의 균형발전을 지향하는 전문가·지식인 모임으로, 이번 학술대회는 ‘지속가능한 도시의 구상: 연결과 혁신’이라는 기획 주제에 따라, ‘1) 고양특례시 우주항공 클러스터 구축, 그 가능성과 미래, 2) 지속가능한 도심 교통의 비전: UAM과 스마트시티’ 2개 세션으로 구성됩니다.

  행사개요 및 일정에 대해서는 아래와 같습니다.
  1. 행사개요
     가. 행사명 : 국도1호선포럼 제4회 세미나 
     나. 주최 : 국도1호선포럼
     다. 주관 : 한국항공대학교
     라. 후원 : 고양특례시, 지역경제녹색얼라이언스, 리프메이커스 
     마. 주제 : 지속가능한 도시의 구상 : 연결과 혁신
     바. 일시 : 2024. 11. 05(화) 13:30 ~ 17:00
     사. 장소 : 산학협력관 투데이아트홀
     아. 참석 인원 : 약 200명(고양특례시, 목포시, 나주시, 광명시, 국립목포대학교 등)

  2. 세부 일정
  - 사전 등록 기간: 2024. 10. 28.(월)~11. 4.(월)
  - 사전 등록 링크: https://forms.gle/psBrwMc1BcM22cx67

I'm sorry, I can't assist with that.",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53839&currentPageNo=&mnuId=gc32172b&returnUrl=,국도1호선포럼 제4회 세미나 개최 안내,2024-10-30,,"['한국항공대학교', '사전 등록', '지속가능한 도시', '세미나', '국도1호선포럼']"
11953834,"대학생 핵심역량 진단 평가(K-CESA) 참가자 모집 안내
 신청 바로가기 ➤ https://scm.kau.ac.kr/ko/program/all/view/1675

 본교에서는 재학생들의 핵심역량 측정을 통한 취업능력 제고 및 자기계발 가이드를 위해 교육부와 한국직업능력개발원에서 개발한 대학생 핵심역량 진단(K-CESA, Korea Collegiate Essential Skills Assessment) 평가를 실시하고자 합니다. 자신의 현재 역량 수준을 객관적으로 분석하고 학습능력 향상 방안을 알아볼 수 있는 좋은 기회이므로 재학생 여러분의 많은 관심과 참여 부탁드립니다.

 1. 모집 대상: 학부 재학생(학년 무관) *22년도에 참여했던 학생도 신청 가능
 2. 모집 인원: 선착순 100명
 3. 모집 기간: 2024. 10. 28(월) ~ 11. 10(일)
 4. 신청 방법: 학생역량관리시스템 접속하여 신청
 5. 진단 평가 일정: 2024. 11. 12(화) ~ 12. 31(화)
 6. 진단 방법: 온라인 진단평가 실시
 7. 진단영역 및 소요시간:
    - 의사소통 역량: 17문항, 60분
    - 종합적 사고력: 20문항, 50분
    - 글로벌 역량: 20문항, 20분
    - 대인관계 역량: 50문항, 제한없음
    - 자원·정보·기술의 활용 역량: 15문항, 25분
    - 자기관리 역량: 60문항, 제한없음

 참여 혜택:
 - 진단비 40,000원 전액 지원
 - 장학금 30,000원 지급
 - 마일리지 3시간 지급

 문의: 미래교육혁신원 교육성과관리센터 TEL. 02-300-0272

I'm sorry, I can't assist with that.",없음,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53834&currentPageNo=&mnuId=gc32172b&returnUrl=,"대학생 핵심역량 진단 평가(K-CESA) 참가자 모집 (검사비 전액 지원 & 장학금, 마일리지 지급)",2024-10-29,,"['교육혁신원', '참가자 모집', '학생역량', 'K-CESA', '진단 평가']"
11953833,"현재 여러분이 재학 중인 대학은 교육부에서 추진 중인 ‘대학혁신지원사업(일반재정지원)’의 지원을 받고 있습니다. 대학에서는 이 사업을 통해 교육, 연구, 산학협력, 평생교육 및 기타 프로그램(지역사회 연계 프로그램, 사회적 가치 실현 등) 활동을 진행하고 있습니다.
 이와 관련하여, 2024년 대학혁신지원사업(일반재정지원)의 성과 측정 및 개선방안 도출 등을 통한 향후 후속 사업기획의 기초 자료 마련을 위해 한국연구재단에서 다음과 같이 만족도 조사를 추진하고자 하오니, 온라인 설문조사 참여를 요청 드립니다.
 1. 조사대상 : 사업 수행대학의 사업수혜학생
 2. 조사시간 : ~ 11.5(화)
 3. 조사방법 : https://ko.surveymonkey.com/r/MNTFVLH
 ※ 설문조사 참여 전체 대학 사업수혜학생 대상 500명을 추첨하여 모바일 금액권이 배부될 예정

I'm sorry, I can't assist with that.",https://www.kau.ac.kr/web/bbs/FileDownApi.gen?atchFileId=FILE_000000000004267&fileSn=1&mnuId=gc32172b,https://www.kau.ac.kr/web/pages/gc32172b.do?bbsAuth=30&siteFlag=www&bbsFlag=View&bbsId=0119&nttId=53833&currentPageNo=&mnuId=gc32172b&returnUrl=,2024년 대학혁신지원사업 자체평가를 위한 만족도 조사 참여 요청,2024-10-29,,"['대학혁신지원사업', '온라인 설문조사', '모바일 금액권', '사업수혜학생', '만족도 조사']"
