idx,text,files,url,title,published_date,deadline_date,tag
드림스폰_일반장학금_7824,,,https://www.dreamspon.com/scholarship/view.html?idx=7824,포니정 해외박사 장학 (2025년),,2024-11-17,"['장학금', '대학원생', '전공기준']"
드림스폰_일반장학금_7838,,,https://www.dreamspon.com/scholarship/view.html?idx=7838,우양재단 동행장학,,2024-11-17,"['장학금', '대학생', '특수계층']"
드림스폰_일반장학금_7673,,,https://www.dreamspon.com/scholarship/view.html?idx=7673,한국장학재단 학자금대출 (2024년 2학기),,2024-11-18,"['대출지원', '대학생', '전문대']"
드림스폰_일반장학금_7731,,,https://www.dreamspon.com/scholarship/view.html?idx=7731,경기도 체육인 기회소득 시범사업,,2024-11-18,"['기타지원', '일반인', '지역기준']"
드림스폰_일반장학금_7825,,,https://www.dreamspon.com/scholarship/view.html?idx=7825,통영시 저소득 대학생 장학 (2024년),,2024-11-20,"['장학금', '대학생', '지역기준']"
드림스폰_일반장학금_7839,,,https://www.dreamspon.com/scholarship/view.html?idx=7839,창암장학재단 창암장학,,2024-11-20,"['장학금', '대학생', '대학원생']"
드림스폰_일반장학금_7840,,,https://www.dreamspon.com/scholarship/view.html?idx=7840,국가근로장학 동계방학 집중근로 희망근로지 신청,,2024-11-20,"['기타지원', '대학생', '성적기준']"
드림스폰_일반장학금_7826,,,https://www.dreamspon.com/scholarship/view.html?idx=7826,숲과나눔 인재양성 연구장학,,2024-11-21,"['장학금', '연구지원', '대학원생']"
드림스폰_일반장학금_7841,,,https://www.dreamspon.com/scholarship/view.html?idx=7841,2025 청년예술가 도약지원,,2024-11-21,"['기타지원', '일반인', '청년']"
드림스폰_일반장학금_7850,,,https://www.dreamspon.com/scholarship/view.html?idx=7850,백산장학재단 장학 (2024년),,2024-11-21,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_7790,,,https://www.dreamspon.com/scholarship/view.html?idx=7790,강남구 신혼부부 청년 전월세 대출이자지원 (2024년),,2024-11-22,"['대출지원', '청년', '일반인']"
드림스폰_일반장학금_7806,,,https://www.dreamspon.com/scholarship/view.html?idx=7806,제주도 학자금대출 신용회복지원 (2024년),,2024-11-22,"['대출지원', '청년', '지역기준']"
드림스폰_일반장학금_7807,,,https://www.dreamspon.com/scholarship/view.html?idx=7807,전주시 글로벌 인재양성 영어능력강화 장학,,2024-11-22,"['연수지원', '대학생', '지역기준']"
드림스폰_일반장학금_7808,,,https://www.dreamspon.com/scholarship/view.html?idx=7808,산청군 향토 장학 (2024년 하반기),,2024-11-22,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_7827,,,https://www.dreamspon.com/scholarship/view.html?idx=7827,성남문화재단 Maker’s Atelier 입주자 모집,,2024-11-22,"['기타지원', '일반인', '지역기준']"
드림스폰_일반장학금_7828,,,https://www.dreamspon.com/scholarship/view.html?idx=7828,홍천군 저소득 주민자녀 장학 (2024년),,2024-11-22,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_7829,,,https://www.dreamspon.com/scholarship/view.html?idx=7829,서울대 아시아연구소 방문학자 펠로우십 (2025년 상반기),,2024-11-22,"['연구지원', '대학원생', '일반인']"
드림스폰_일반장학금_7843,,,https://www.dreamspon.com/scholarship/view.html?idx=7843,부산 동래구 안락2동 충렬장학 (2024년),,2024-11-22,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_7844,,,https://www.dreamspon.com/scholarship/view.html?idx=7844,목포장학재단 예체능 장학,,2024-11-22,"['장학금', '중학생', '고등학생']"
드림스폰_일반장학금_6901,,,https://www.dreamspon.com/scholarship/view.html?idx=6901,청년상사 청년역량강화사업,,2024-11-23,"['기타지원', '청년', '광교종합사회복지관']"
드림스폰_일반장학금_7809,,,https://www.dreamspon.com/scholarship/view.html?idx=7809,대한장애인체육회 체육장학금,,2024-11-27,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_7830,,,https://www.dreamspon.com/scholarship/view.html?idx=7830,서울시 예술인 역량강화 프로그램,,2024-11-27,"['기타지원', '일반인', '서울예술인지원센터']"
드림스폰_일반장학금_7122,,,https://www.dreamspon.com/scholarship/view.html?idx=7122,정읍시 학자금대출 신용회복지원,,2024-11-29,"['대출지원', '청년', '지역기준']"
드림스폰_일반장학금_7792,,,https://www.dreamspon.com/scholarship/view.html?idx=7792,안양시 청년 월세 지원사업,,2024-11-29,"['주거지원', '청년', '지역기준']"
드림스폰_일반장학금_7832,,,https://www.dreamspon.com/scholarship/view.html?idx=7832,충청북도 결혼비용 대출이자 지원사업,,2024-11-29,"['대출지원', '청년', '신혼부부']"
드림스폰_일반장학금_7852,,,https://www.dreamspon.com/scholarship/view.html?idx=7852,광남새마을금고 장학 (2024년),,2024-11-29,"['장학금', '중학생', '고등학생']"
드림스폰_일반장학금_6851,,,https://www.dreamspon.com/scholarship/view.html?idx=6851,"캐나다 어학연수, 드림스폰 회원 특별 할인 혜택(11월)",,2024-11-30,"['우리에듀케이션', '캐나다어학연수', '캐나다유학', '초간단신청', '특별할인혜택']"
드림스폰_일반장학금_7366,,,https://www.dreamspon.com/scholarship/view.html?idx=7366,인천시 동구 청년 웰컴페이 지원사업,,2024-11-30,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_7778,,,https://www.dreamspon.com/scholarship/view.html?idx=7778,안성시 슬기로운 자립생활 지원사업,,2024-11-30,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_7791,,,https://www.dreamspon.com/scholarship/view.html?idx=7791,안성시 관외 대학생 주거안정비 지원사업,,2024-11-30,"['주거지원', '대학생', '지역기준']"
