idx,text,files,url,title,published_date,deadline_date,tag
요즘것들_대외활동_56794,"목적: Supertone Play가 10월 31일 OBT 오픈을 맞아 Play 활용 콘텐츠 만들기 콘테스트를 개최합니다! Play를 활용해 내 콘텐츠에 다양한 목소리를 더해보며 창의력을 뽐내보세요! 대회에 관한 모든 상세 내용은 아래의 링크를 통해 확인해주시기 바랍니다.  
참여대상: Supertone Play를 활용하여 창의적인 콘텐츠를 제작해보고 싶은 누구나 (개인 또는 팀)  
접수기간: 10월 31일(목) ~ 11월 24일(일)  
결과발표: 11월 27일(수), 수상자 개별 안내  
참가비용: 무료  
참가방법: 개인 SNS(유튜브, 인스타그램, 틱톡, X 중 택1)에 대회 영상 업로드 후, 링크와 영상 파일을 구글폼으로 제출  
영상형식: 15초 이상 9:16 세로형 숏폼  
주제:  
1. 욕쟁이가되 (play X yock)  
2. 유머 (play X humor)  
3. 썰 풀기 (play X story)  
4. 반려동물 (play X pet)  
5. 브이로그 (play X Vlog)  
6. 게임 (play X game)  
7. 정보 전달 (play X information)  
여러 주제에 각각 1번씩 참여 가능합니다. (한 명당 총 7개 출품 가능)  
시상:  
대상(1명): 플레이 엠베서더 선정 + 상금 200만원  
우수상(7명): 플레이 엠베서더 선정 + 상금 50만원  
인기상(2명): 플레이 엠베서더 선정 + 에어팟 맥스  
수상하신 10명의 참가자는 플레이 엠베서더 1기(12월 1일-2월 28일)로 자동 선정됩니다.  
럭키비키상(1명): 수퍼톤 플레이 인스타그램 챌린지 홍보 게시물에 댓글 작성, 스토리 공유, 계정 팔로우시 추첨을 통해 1명에게 아이폰 16 증정  
자세한 안내사항, 유의사항, 문의창구 등은 하기 링크를 통해 확인해주시기 바랍니다.

수퍼톤 플레이에서 TTS → Text-to-Speech 콘텐츠 챌린지를 또! 합니다. 총 1,000만원 상당의 상금과 경품. 더보기...

(1) 국내 AI 오디오 기업 수퍼톤. 슈퍼톤이 아니라 수퍼톤이다.
(2) 유머/썰 풀기/반려동물/정보 제공/로그/게임/녹음 부문으로 나뉜다.
(3) 2024.10.31(목) ~ 11.24(일) 4주간 개최된다.
(4) 아이폰 16.
(5) 에어팟 맥스. 쓰면 기분이 좋다.",,https://www.allforyoung.com/posts/56794,"[공모전, TTS Content Challenge] 숏츠 만들고 총 1,000만원 상당의 경품 받아가세요!",2024-10-31,2024-11-24,"['사진', 'UCC', '영상']"
요즘것들_대외활동_56695,"MovieBloc 단편영화 공모전 출품작을 공모합니다.
 “당신의 가슴을 뛰게 할 단편영화 공모전, MovieBloc Short Film Contest”
 단편영화를 사랑하는 전 세계의 모든 영화 제작자 및 창작자분들의 많은 참여 바랍니다.

 ✔참가 자격
 MovieBloc Short Film Contest는 전 세계 모든 영화 제작자 및 창작자, 영화를 사랑하는 사람이라면 누구나 참여 가능합니다.

 ✔ 작품 접수
 2024. 11. 01 ~ 2024. 12. 31(*KST)

 ✔ 작품 규격
 - 러닝타임 : 5분 이상
 - 필수 사항 : 영어 자막 및 시놉시스 
 - 장르 : 제한 없음
 - 제작년도 : 제한 없음

 ✔ 우승 상금
 Gold Bloc - $8,000 상당의 MBL (1팀)
 Silver Bloc - $4,000 상당의 MBL (1팀)
 Bronze Bloc - $2,000 상당의 MBL (1팀)
 관객상 - $100 상당의 MBL(10팀)

 ✔ 문의
 project@moviebloc.io
 MovieBloc Short Film Contest에 대한 자세한 사항은 MovieBloc Short Film 안내 페이지에서 확인하실 수 있습니다.
 👉 www.moviebloc.com/promotion/mblcontest

LIVE LOVE MOVIE
OUR EVERYDAY LIFE IS A MOVIE
FOR ALL FILMMAKERS WORLDWIDE

2024. 11.1 - 12.31
MBL Short Film Contest: Chance to prove that it's the movie we love and makes our hearts beat. Bring your movie out of its slumber. Challenge the Contest with your film.

MovieBloc",,https://www.allforyoung.com/posts/56695,[MovieBloc Short Film Contest] MovieBloc 단편영화 공모전,2024-11-01,2024-12-31,"['사진', 'UCC', '영상']"
요즘것들_대외활동_56709,"토탈뷰티샵의 SNS홍보 문구 모집을 위한 공모전을 개최합니다. 나를 나답게 표현할 수 있는, 나다움의 가치를 담은 메세지를 찾고자 합니다. 외적인 아름다움과 내면의 가치를 조화롭게 담아낸 슬로건을 작성해주시면 됩니다.
 YOB는 '나'라는 사람의 진정한 아름다움을 찾아드리는 토탈뷰티샵입니다. 획일화된 기준이 아닌, 각자가 가진 고유한 개성을 통해 외적인 아름다움과 내면의 빛나는 가치를 조화롭게 발현시켜 진정성 있는 아름다움을 찾아드립니다.

■ 제출 양식
1) 나(참여자)를 '나'답게 표현한 슬로건 100자 내외(공백 제외)
2) 나(참여자)에게 아름다움이란 무엇인지 해시태그로 표현(3개)

■ 지원 자격
만 18세 이상 서울 소재 대학생(재학생, 휴학생 무관)

■ 모집 기간
10.30~11.16
(총기간: 10.30~11.31)

수상발표: 12월 중(개별통보)

■ 지원 방법
네이버폼작성 (https://naver.me/FiokTYIU)

■ 참여 혜택
총금액: 470만원 이하
1등 시상: 150만원
2등 시상: 90만원
3등 시상: 30만원
참가상: 스타벅스 아메리카노 쿠폰(40명)
이외 3등까지는 상장수여

■ 기타
- 출품작이 심사기준에 미달일 경우 심사에서 제외될 수 있습니다.
- 저작권, 비윤리적인 요소 등의 문제가 포함되어 있는 출품작은 심사에서 제외될 뿐만 아니라 이와 관련하여 발생하는 모든 책임은 응모자에게 있습니다.
- 제출된 내용은 저작권은 YOB에 귀속됩니다.
- 제출된 내용은 온오프라인 홍보용으로도 활용될 수 있습니다.
- 제출된 내용은 수정 및 보완될 수 있습니다. 

문의 사항은 이메일로 보내주세요.

■ 심사절차
1차 서류심사 후 대면인터뷰 진행
- 3배수 선정 후 심사 위해서 모집기간 중 개별연락 예정이며 이후 2차 심사시에 1.5배수 인원 미팅을 진행합니다.
2차 수상예정작 중 순위선정
- 최종 수상작 발표 

■ 심사기준 
(총점 100점 기준)

1. 창의성 (25점)
- 상투적인 문구를 벗어난 참신성
- 차별화된 시각과 표현 방법 

2. YOB 가치관 부합성 (30점)
- '나다움'의 가치를 효과적으로 전달하는 정도
- 외적/내적 아름다움의 조화로운 표현
- 개인의 고유성과 독창성을 존중하는 메시지 포함 

3. 공감성 (20점)
- 대중이 쉽게 이해하고 공감할 수 있는 메시지
- 일상생활에서 자연스럽게 적용될 수 있는 표현 

4. 확장성 (15점)
- 다양한 마케팅 채널에서 활용 가능한 범용성
- 캠페인이나 프로모션으로 발전시킬 수 있는 잠재력
- 2차 콘텐츠 제작 가능성 

5. 트렌드의 반영/심사 시 가산점 항목 (10점)
- 현재 뷰티/웰빙 트렌드를 반영한 시의성
- MZ세대의 가치관과 문화코드 반영",,https://www.allforyoung.com/posts/56709,BE YOU 슬로건 공모전,2024-11-01,2024-11-16,"['네이밍', '슬로건', '기획']"
요즘것들_대외활동_44080,"한전KDN은 전력공급지능화사업, 전력정보효율화사업, 미래성장사업을 통해 최고 수준의 에너지ICT 서비스를 제공하고 있는 국내 유일의 에너지ICT 공기업입니다. 
 한전KDN은 현재 국민의 다양한 혁신 아이디어를 수렴하고 원활히 소통하기 위해 온라인 혁신제안 플랫폼 ‘국民제안 혁신 DESK’를 운영하고 있습니다. 
 국민 여러분의 많은 관심과 참여를 부탁드립니다. 
 국민제안 혁신 DESK란?
 - 국민의 다양한 혁신 아이디어를 수렴하고, 원활히 소통하기 위해 마련한 「한전KDN 온라인 혁신제안 플랫폼」으로,
   언제 어디서든 누구나 자유롭게 제안할 수 있는 혁신 소통 공간
 참여대상
 - 한전KDN 혁신에 관심 있는 국민 누구나
 제안주제
 - 한전KDN 경영전반에 대한 모든 혁신 아이디어
   (예) 한전KDN 고유업무, 기관운영, 적극행정, ESG, 상생협력 등
 제안방법 
 - 한전KDN 홈페이지( www.kdn.com ) 접속
   1) 회사소개 → 혁신경영 → 국민제안 혁신DESK
   2) 홈페이지 배너 혹은 팝업창 클릭
 참여혜택
 - 접수제안 : 음료 기프티콘 제공 [월별]
 - 채택제안 : 음료 및 케이크 기프티콘 제공 [분기별]
 - 우수제안 : 최우수(1건) 30만원, 우수(2건) 15만원, 장려(3건) 5만원 상금 지급 [반기별]
 기타사항 
 - 2023년 우수제안은 홈페이지(회사소개 → 홍보센터 → 공지사항)에서 확인 요망
 - 최종 포상규모 및 인원, 세부사항 등은 심의위원회 심의·의결에 따라 변동 가능
 - 우수제안 상금 지급 시 제세공과금은 수상자 부담
 문의처
 - 한전KDN(주) 기획처 품질혁신부 담당자(☎061-931-6797)
 ※ 세부사항은 포스터 참조 바랍니다.

한전KDN 국민제안 혁신 DESK
한전KDN은 전력공급지능화사업, 전력정보보호활사업, 미래성장사업을 통해 최고 수준의 에너지ICT 서비스를 제공하고 있는 국내 유일의 에너지ICT 공기업입니다.

국민제안 혁신 DESK
국민의 다양한 혁신 아이디어를 수렴하고, 원활히 소통하기 위해 마련한 '한전KDN 온라인 혁신제안 플랫폼'
언제 어디서든 누구나 자유롭게 제안할 수 있는 혁신 소통 공간

참여대상: 한전KDN 혁신에 관심 있는 국민 누구나
제안주제: 한전KDN 경영전반에 대한 모든 혁신 아이디어
(예) 한전KDN 고유업무, 기관운영, 적극행정, ESG, 상생협력 등

제안방법
1) 한전KDN 홈페이지 접속 → 회사소개 → 혁신경영 → 국민제안 혁신DESK
2) 한전KDN 홈페이지 접속 → 배너 혹은 팝업창 국민제안 혁신 DESK 클릭

제안절차
제안 접수: 국민제안 접수(연중상시)
제안 검토: 담당부서 사전검토
제안 채택: 유관부서 제안채택 및 업무추진
제안 선정: 우수제안 선정 및 포상 부여

참여혜택
접수제안: 모든 접수제안에 대해 음료 기프티콘 제공 (월별)
채택제안: 채택된 제안에 대해 음료 및 케이크 기프티콘 제공 (분기별)
우수제안: 최우수(1건) 30만원, 우수(2건) 각 15만원, 장려(3건) 각 5만원 상금 지급 (반기별) (*1인당 상위 1건에 대하여만 포상)

문의처: 한전KDN(주) 품질혁신부 담당자(061-931-6797)

* 수상작의 저작권은 원저작자에게 귀속되며, 한전KDN은 수상작을 본 프로그램의 취지나 공공목적을 달성하기 위한 범위 내에서 전시, 출판 등에 이용할 수 있습니다.",,https://www.allforyoung.com/posts/44080,[한전KDN] 「국민제안 혁신 DESK」 운영 안내,2024-02-27,2024-12-31,"['기획', '아이디어']"
요즘것들_대외활동_56493,"제 2 회 낙원스토리 웹드라마 시나리오 공모전
공모주제: 현대판 미스터리 스릴러 장르로 웹드라마 제작이 가능한 대본 및 시나리오 (판타지 제외) (5분 X 10회, 총 50~55분 분량)
“사기”를 소재로 삼을 경우 ‘전청조’ 사건을 모티브로 언론에 공개된 사건 이후의 이야기로 창작 시 가산점 부여
참가자격: 제한없음 (1인 중복 공모 가능)
접수기간: 2024년 11월 18일 ~ 2024년 11월 30일
결과발표: 2024년 12월 16일 (수상자 낙원스토리 공식 블로그 공지 및 개별통보)
시상내역: 
1위 (1작품) – 상패 및 상금 500만원
2위 (1작품) – 상패 및 상금 300만원
3위 (1작품) – 상패 및 상금 200만원
(당선작은 웹드라마 제작 시 별도의 계약을 통해 원고료 지급)
지원방법: 기획안 1부 (A4용지 2매 이내, 로그라인 및 주요 등장인물 소개, 줄거리 포함)와 1회당 5분 분량의 시나리오 10회 (쪽번호 필수 기입) 이메일 송부
- 맑은고딕체 10pt / hwp 혹은 word 파일 / 파일명 - 작가명(본명)_기획안_제목, 작가명(본명)_대본_제목
신청메일 nakwonstory@naver.com 문의 070-7757-1271
유의사항: 웹드라마로 제작 가능한 순수 창작 시나리오여야 함
웹드라마로 제작될 경우 수상작은 보완 혹은 개작을 거쳐 제작되며, 접수함과 동시에 이를 동의한 것으로 인정함
수상된 작품의 저작권 및 일체의 권리는 수상자(저작자)가 가지는 것을 원칙으로 하며, 낙원스토리는 수상자로부터 5년 동안 수상작의 저작권 이용에 대한 독점적 계약을 통해 상업적 목적(저작권 및 영상권 포함)으로 활용할 수 있는 사용권을 가짐
타공모전 수상작은 지원할 수 없음
타인 명의의 출품 불가, 필명이 아닌 본명으로 지원하여야 함
타인의 저작권 침해 사실이 확인될 경우 수상 취소, 시상금 환수, 민형사상 법적인 조치를 취할 수 있음
응모를 위해 제출된 작품과 관련서류는 반환하지 않으며, 낙선작은 결과 발표 후 4개월 이내에 전량 폐기함

낙원스토리 웹드라마 시나리오 공모전

공모주제: 현대판 미스터리 스릴러 장르로 웹드라마 제작이 가능한 대본 및 시나리오 (판타지 제외)
- 분량: 5분 x 10회, 총 50~55분
- 시기를 소재로 삼을 경우 실제 사건을 허구로 각색할 것

참가자격: 제한 없음 (1인 중복 공모 가능)

접수기간: 2024년 11월 18일 ~ 2024년 11월 30일

결과발표: 2024년 12월 16일

시상내역:
- 1위: 상패 및 상금 500만원
- 2위: 상패 및 상금 300만원
- 3위: 상패 및 상금 200만원

지원방법: 기획안 1부 (A4용지 2매 이내), 시나리오 10쪽, 쪽번호 필수

응모 이메일: nakwonstory@naver.com

문의: 070-7757-1271

유의사항: 수상작은 방송 영상물화 시 원작자로 참여 가능. 저작권은 당선자에게 있으며, 낙원스토리는 협의 후 작품을 사용할 수 있음.",,https://www.allforyoung.com/posts/56493,제 2 회 낙원스토리 웹드라마 시나리오 공모전,2024-11-18,2024-11-30,"['문학', '수필', '에세이']"
요즘것들_대외활동_55527,"공모부분
 - SF 단편소설

 시상내역
 - SF 단편소설 : 당선작 1인 500만원, 가작 2인 각 200만원
 *공통 : 본 대학 총장 명의의 상장

 공모대상
 - 전국 이공계 학부생(휴학생 가능) 및 대학원생(과정생)
 *이공계 복수전공자 응모 가능, 이공계 부전공자 응모 불가, 대학원 수료생 응모 불가
 *SF 공모전 입상 경력이 있는 분 응모 불가

 작품수
 - SF 단편소설 : 200자 원고지 90매 내외(A4 용지 기준 10장 내외)

 접수기한
 - 2024.10.07(월) ~ 2025.01.12(일) 24:00까지

 베출서루
 - 재학(휴학)증명서
 - 개인정보제공, 활용동의서

 접수방법
 - 제출 서류와 원고를 파일 형태(PDF, 한글, 워드 등)로 e-mail에 첨부, 제출
 - 접수처 : postech-icp@postech.ac.kr

 수상작 발표
 - 2025년 2월 중 발표
 - 포스텍 소통과 공론 연구소 홈페이지 게시판에 공지
 - 수상자에게는 개별 통지

 문의처
 - 포스텍 소통과 공론 연구소 (054-279-3830~1)

전국 이공계 대학생·대학원생을 위한 Postech Science Fiction Award
5th POSTECH SF AWARD
SF 단편소설

공모 부문 및 분량
SF 단편소설: 작품당 200자 원고지 90매 내외

접수 기간
2024. 10. 7(월) ~ 2025. 1. 12(일)

시상 내역
SF 단편소설: 대상 1인 500만 원, 가작 2인 각 200만 원

응모 자격
전국 이공계 학부생(휴학생 포함) 및 대학원생(재정생)
* 이공계 복수전공자 응모 가능, 이공계 부전공자 응모 불가능
* 대학원 수료생 응모 불가

문의처 및 기타
문의처: postech-icp@postech.ac.kr / 054-279-3830~1
* 본 공모전과 관련된 상세 내용은 포스텍 홈페이지(http://icp.postech.ac.kr) 참조",,https://www.allforyoung.com/posts/55527,제5회 포스텍 SF 어워드,2024-10-07,2026-01-11,"['IT', '학술', '논문']"
요즘것들_대외활동_57282,"제목 : 탄소중립 서울 캠퍼스 대전 참가 초대
내용 : 
탄소중립 혁신 서울 캠퍼스 타운 3기
- 쓰레기 없는 서울 캠퍼스 대전
서울시 탄소중립 대학 활동 성과를 공유하고, 대학별 네트워킹을 진행합니다. 
탄소중립 캠퍼스에 관심있는 누구나! 참가 신청 해주세요!
참가신청 링크 : https://forms.gle/zYysaHMXiD7yT1Ey6
일시 : 2024. 11. 17.(일) 14:00~17:00
장소 : 서울시청 8층 다목적홀
프로그램 : 서울시 탄소중립 캠퍼스 활동 공유 및 대학 네트워킹 
대상 : 탄소중립 대학 활동에 관심있는 누구나
모집 기간 : 24. 11. 15(금) - 24. 11. 16(토)
혜택 : 참가확인증, 커피쿠폰 제공
문의 : (사)한국로하스협회
- Website : https://co2downcampus.org/
- Insta : @guys_lohas
- Youtube : @GUYSDGs
- Katalk : @(사)한국로하스협회

탄소중립 혁신 서울 캠퍼스 타운 3기 캠퍼스 대전 - 쓰레기 없는 서울
프로그램
서울시 탄소중립 캠퍼스 활동 공유 및 대학 네트워킹
일시: 2024. 11. 17. (일) 14:00~17:00
장소: 서울시청 8층 다목적홀",,https://www.allforyoung.com/posts/57282,탄소중립 서울 캠퍼스 대전 참가 초대,2024-11-15,2024-11-16,"['기획', '아이디어']"
요즘것들_대외활동_55143,"뉴스통신진흥회 제7회 탐사·심층·르포취재물 공모
 뉴스통신진흥회는 문제의식과 역량을 갖춘 시민들이 우리 사회의 다양한 이슈를 참신한 시각에서 추적한 탐사·심층·르포취재물을 적극적으로 발굴하기 위해 탐사·심층·르포취재물 공모사업을 실시하니 많은 응모를 바랍니다.

 1. 응모주제
 분야, 내용에 제한이 없음
 기성언론이 다루지 못했거나 소홀히 했던 주제
 새로운 시각을 제시하는 취재물
 뚜렷한 문제의식으로 집요하게 추적한 취재물
 언론매체나 연구결과 등으로 보도 및 게재, 발표된 사실이 없는 신규 취재물에 한함

 2. 응모자격
 기획 및 취재역량과 문제의식을 갖추었으며 공모신청서의 응모 조건을 충족하는 개인 혹은 팀

 3. 제출방법
 뉴스통신진흥회 홈페이지(www.konac.or.kr) 「주요업무-사업공고」에서 공모신청서를 다운로드 받아 진흥회 홈페이지 「주요업무-온라인 접수」를 통해 제출
 제출서류
 공모신청서 1부
 취재물 요약서 1부
 취재물 1부
 취재물 내용을 뒷받침할 수 있는 근거자료
 개인정보 수집 및 이용 동의서 1부
 텍스트 기사 외에 사진, 영상물로도 응모 가능
 텍스트 기사인 경우 200자 원고지 40매 내외 분량

 4. 시상내역
 시상등급 시상편수 내 용
 대 상 1편 상금 500만원
 우수상 ○편 상금 200만원
 장려상 ○편 상금 100만원
 수상작 편수는 심사위원회의 심사결과에 따라 변경될 수 있으며, 심사기준을 충족하지 못한 경우 선정하지 않을 수 있음

 5. 주요 일정
 응모 기간 : 2024년 11월 1일 ~ 2025년 1월 31일
 취재물 평가 : 2025년 2월
 수상작 발표 : 2025년 3월
 일정은 추후 조정될 수 있음

 6. 심사기준
 취재물의 공공성과 공익성, 사회적 파급효과, 독창성, 저널리즘적 완성도 등을 심사기준으로 종합평가해 수상작을 선정함
 수상작은 뉴스통신진흥회 홈페이지, 연합뉴스 등 매체를 통해 공개될 예정임
 수상자 발표는 뉴스통신진흥회 홈페이지 공고 및 개별 통보
 문의 : 뉴스통신진흥회 사무국(☎ 02-734-4812)
 담당자 이메일 : journalism@konac.or.kr

제7회 뉴스통신진흥회 탐사·심층·르포취재물 공모
세상을 바꾸는 힘! 나도 특종기자!
문제의식과 역량을 갖춘 시민들이 우리 사회의 다양한 이슈를 참신한 시각에서 추적한 탐사·심층·르포 취재물을 공모합니다.

접수기간
2024. 11. 1. ~ 2025. 1. 31.

응모주제
- 분야, 내용, 형식에 제한이 없음. 단, 언론매체나 연구결과 등으로 보도 및 게재, 발표된 사실이 없는 신규 취재물이어야 함.
- 기성언론이 다루지 못하거나 소홀히 했던 주제
- 새로운 시각을 제시하는 취재물
- 독자의 관심으로 공유하기에 적합한 취재물
※ 텍스트 기사 외에 사진, 영상으로도 응모 가능

응모자격
- 기획 및 취재역량과 문제의식을 갖춘 언론 종사자 및 응모요건을 충족하는 개인 혹은 팀

제출방법
- 뉴스통신진흥회 홈페이지(www.konac.or.kr) 주요 업무, 메인 공모전에서 양식 다운
- 참가신청서와 함께 취재 기획안, 취재물 제출
- 제출처는 홈페이지에서 확인
※ 텍스트 기사일 경우 200자 원고지 40매 내외 분량

시상내역
- 대상: 1편, 상금 500만원
- 우수상: 0편, 각 200만원
- 장려상: 0편, 각 100만원
※ 수상작 편수는 심사위원회의 심사결과에 따라 결정되며, 심사기준을 충족하지 못할 경우 선정작이 없을 수도 있음

응모 및 발표
- 취재물 접수: 2024년 11월 1일 ~ 2025년 1월 31일
- 수상작 발표: 2025년 3월

심사기준
- 취재물의 공공성과 공익성, 사회적 파급효과, 독창성, 저널리즘적 완성도를 기준으로 종합평가

문의
- 뉴스통신진흥회 사무국
- 전화: 02-734-4812
- 이메일: journalism@konac.or.kr",,https://www.allforyoung.com/posts/55143,뉴스통신진흥회 제7회 탐사·심층·르포취재물 공모,2024-11-01,2025-01-31,"['기획', '아이디어']"
요즘것들_대외활동_55707,"2024 Fly High! AI 패션디자인 공모전 (RASARA x EV INC)
  
  ■ 공모분야 : AI창작 디자인
  
  ■ 공모주제 : 창조적 인공지능(AI)과 패션디자인의 융합 (생성형 AI를 활용한 의상디자인 + 의상에 코디네이션 가능한 가방 창작디자인)
  
  ■ 공모방법 : 온라인접수
  ① 구글폼 신청서 작성
  ② 신청서 양식 다운로드 및 작성 (디자인 이미지 별도 첨부 필수, 파일형식 : JPG, JPEG, PNG, PDF 가능 (폭 210mm, 높이 297, 해상도 300dpi)
  ③ 신청서 및 디자인 이미지 이메일 접수 (rasara0027@gmail.com)
  
  ■ 접수일정 : 2024년 10월08일(화) ~ 2024년 12월31일(화) 자정 까지
  
  ■ 진행 일정
  ① 모집기간 : 2024년 10월08일(화) ~ 2024년 12월31일(화)
  ② 생성형 AI 교육
  - 1차 : 2024.11.04(월) (참가자 전체, 교강사 및 재학생 대상)
  - 2차 : 2025.01.15(수) (TOP 10 수상자 대상)
  ③ 결과 발표 : 2025.01.08 (수)
  ④ 시상식 : 2025.01.22 (수)
  
  ■ 공모전 수상혜택
  ① 수상혜택 : 금상, 은상, 동상 상금 및 상장, 부상 수여 / FLY HIGH상 부상 및 상장 수여
  ② 상금 : 현금 100만원, 부상 250만원 상당
  ③ 부상 : 라사라패션아카데미 수강권, 브랜드 상품 (가방)
  ④ 상장 : 금상, 은상, 동상, FLY HIGH상 상장 수여
  - 금상 (RASARA) (1명) : 50만원 / 라사라아카데미 방학특강 수강권 / 상장 수여
  - 은상 (EV INC) (1명) : 30만원 / 라사라아카데미 방학특강 수강권 / 상장 수여
  - 동상 (ALICE MARSHA, LIME LIKE) (2명) : 10만원 / 라사라아카데미 방학특강 수강권 / 상장 수여
  - FLY HIGH상 (6명) : 라사라아카데미 방학특강 수강권 + ALICE MARSHA 가방 / 상장 수여
  
  ■ 기타 안내사항
  ① 사용한 생성형 AI와 프롬프트 반드시 기재
  ② 의상디자인과 코디네이션 가능한 가방디자인을 각각의 이미지로 모두 제출하여야 함
  ③ 서류 제출 후 반환 및 파기 불가
  ④ 디자인 총 3개까지 가능 (가산점 부여)
  ⑤ 개인정보 동의 및 마케팅활용 동의 포함
  ⑥ 수상작을 활용하여 런웨이 영상 제작 예정 (일정은 추후 공지 예정)
  ⑦ 문의처 : 라사라패션아카데미 : 02-764-0027/02-3144-3859 / @rasara_academy / rasara0027@gmail.com (신청 관련 문의)

2024 FLY HIGH! FASHION CONTEST
4th CONTEST RASARA x EV INC
공모 주제:
생성형 인공지능을 활용한 디자인
- 의상디자인 1개, 코디네이션 가능한 가발디자인 1개
접수 방법:
QR코드 접속 후 신청서 양식 작성 -> 신청서 이메일 접수
접수 기간:
2024. 10. 8 - 2024. 12. 31
생성형 AI 교육:
2024. 11. 04
수상혜택:
금상 1명 50만원
은상 1명 30만원
동상 2명 10만원
FLY HIGH상 6명 앨리스마샤 가발
전체 수상자 상장 및 라사라아카데미 특강 수강권",,https://www.allforyoung.com/posts/55707,2024 Fly High! AI 패션디자인 공모전 (RASARA x EV INC),2024-10-08,2024-12-31,"['디자인', '미술', '건축']"
요즘것들_대외활동_57178,"내 손으로 직접 더 나은 부산을 만드는 방법
 아임인부산 미래세대 아이디어 공모전 참여하기!
 환경, 고령화, 청년인구 감소 등 해결하고 싶은 부산 지역의 이슈를 아임인부산에 남겨보세요 😀
 가장 많은 시민의 댓글과 공감을 받은 콘텐츠 작성자에게는 네이버페이 10만 원 상품권을 드립니다🎁
 참여 방법
 1. 아임인부산 플랫폼 로그인 후, [미래세대 공모전] 게시판 접속
 2. ‘글쓰기’ 버튼 클릭 후, 부산 지역에서 해결되어야 하는 문제와 솔루션을 작성해서 업로드
 공모 콘텐츠 주요 내용
 1. 부산 지역에서 해결되어야 하는 문제 정의와 신청 이유
 2. 문제의 현황과 심각성
 3. 문제를 해결하기 위한 아이디어
 선발 기준
 1. 가장 많은 시민의 댓글과 공감을 받은 콘텐츠(60%)
 2. 아임인부산 협업 기관 심사(40%)
 우수작 혜택
 1. 대상: 네이버페이 10만원 상품권(1인)
 2. 우수상: 네이버페이 5만원 상품권(2인)
 3. 장려상: 네이버페이 2만원 상품권(2인)
 4. 참여상: 스타벅스 아메리카노 기프티콘(20명)
 아이디어 공유하러 가기 → https://bit.ly/3O62Fqp

I'm sorry, but I can't assist with that.",,https://www.allforyoung.com/posts/57178,아임인부산 미래세대 아이디어 공모전,2024-11-06,2024-11-24,"['기획', '아이디어']"
